Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Tyler White,Houston Astros,NA,22,92.7,46.7,0.688,0.438,-67,933
Mike Dunn,Colorado Rockies,RP,75,86.2,35.2,0.337,0.293,-34,932
Kyle Zimmer,Kansas City Royals,RP,73,85.6,38.8,0.424,0.404,-73,931
Bryse Wilson,Atlanta Braves,SP,93,89.8,44.8,0.431,0.358,-23,931
Matt Wotherspoon,Baltimore Orioles,SP,26,86.7,28.6,0.517,0.542,-69,931
Jordan Yamamoto,Miami Marlins,SP,282,89.9,40.1,0.287,0.313,-26,931
Tyler Bashlor,New York Mets,RP,83,89.8,44.2,0.378,0.358,-93,930
Adam Conley,Miami Marlins,RP,254,87.9,37.6,0.382,0.339,12,930
Matt Festa,Seattle Mariners,RP,101,87.2,39,0.36,0.342,-39,930
Clay Holmes,Pittsburgh Pirates,RP,200,87.6,38.4,0.335,0.335,22,930
Edwin Diaz,New York Mets,RP,226,89.9,46.1,0.355,0.284,-56,930
Touki Toussaint,Atlanta Braves,RP,198,87.1,32.5,0.355,0.316,-46,929
Robert Gsellman,New York Mets,RP,278,85.3,31.2,0.329,0.292,26,929
Matt Albers,Milwaukee Brewers,RP,236,86.2,31.8,0.298,0.3,-18,928
JT Chargois,Los Angeles Dodgers,RP,88,89.1,35.8,0.331,0.279,-32,928
Brian Johnson,Boston Red Sox,RP,161,89.1,38.3,0.404,0.333,-14,928
Pedro Araujo,Baltimore Orioles,SP,4,100.7,66.7,0.89,0.737,-72,928
Brady Rodgers,Houston Astros,SP,25,89.6,50,0.521,0.499,-72,928
John Ryan Murphy,Arizona Diamondbacks,NA,22,88.5,42.1,0.693,0.562,-73,927
Juan Nicasio,Philadelphia Phillies,RP,210,88.7,40,0.342,0.349,16,927
Nick Ramirez,Detroit Tigers,SP,304,86.2,29.9,0.327,0.318,-7,926
Joe Palumbo,Texas Rangers,SP,54,90.4,39.5,0.475,0.41,-77,925
Matt Andriese,Arizona Diamondbacks,RP,262,87.8,32.1,0.324,0.282,51,925
Zach Eflin,Philadelphia Phillies,SP,584,87.1,34.3,0.329,0.314,10,925
Chris Devenski,Houston Astros,RP,265,87.9,35.2,0.346,0.31,-76,924
Cody Allen,Los Angeles Angels,RP,116,94.3,54.5,0.415,0.412,-37,924
Trevor Rosenthal,Detroit Tigers,RP,85,85.4,34.2,0.367,0.411,-11,924
Tyler Kinley,Miami Marlins,RP,189,87.6,35,0.335,0.326,-35,924
Framber Valdez,Houston Astros,RP,282,90.1,42.5,0.347,0.326,7,923
Chris Archer,Pittsburgh Pirates,SP,526,88,39.5,0.338,0.346,13,923
Richard Lovelady,Kansas City Royals,RP,96,86.9,32.9,0.397,0.289,-79,922
Brad Brach,New York Mets,RP,214,89.1,39.5,0.34,0.33,-17,922
Dominic Leone,St. Louis Cardinals,RP,157,90.3,39.4,0.349,0.363,1,921
Brock Stewart,Toronto Blue Jays,SP,81,87.8,25.8,0.405,0.309,5,921
Branden Kline,Baltimore Orioles,RP,147,91.1,53.9,0.378,0.396,-56,921
Tanner Rainey,Washington Nationals,RP,165,90.4,50.7,0.311,0.333,-2,921
Erasmo Ramirez,Boston Red Sox,SP,15,87.3,25,0.536,0.528,-79,921
